query_id,semantic_similarity,recency_days,engagement_score,term_overlap,time_of_day_match,relevance
159,0.4731,44.92,17.27,0.2344,0.7853,0.4324
52,0.9257,29.79,31.38,0.272,0.4324,0.727
174,0.5182,47.67,13.91,0.1874,0.1688,0.4552
139,0.679,1.72,28.51,0.4236,0.2194,0.6821
119,0.4451,170.9,58.66,0.1918,0.2808,0.4535
173,0.5877,20.48,43.55,0.3302,0.4568,0.657
191,0.3635,12.17,13.84,0.091,0.5448,0.4331
117,0.5565,43.09,20.8,0.1886,0.2968,0.4321
116,0.3854,17.96,2.4,0.1079,0.8941,0.3841
0,0.2906,10.13,13.78,0.1602,0.8308,0.5252
182,0.4835,5.93,42.98,0.2139,0.5873,0.5823
60,0.5368,72.77,25.39,0.3082,0.7391,0.5252
105,0.6213,2.79,33.32,0.4466,0.7148,0.6108
11,0.6586,14.09,11.23,0.14,0.2694,0.4933
55,0.3168,2.47,29.39,0.176,0.7653,0.4948
64,0.5218,36.17,41.93,0.0362,0.1671,0.4489
24,0.5064,33.33,45.49,0.1491,0.9111,0.6176
177,0.8617,80.19,39.96,0.0955,0.1577,0.6021
23,0.9445,34.87,11.89,0.2984,0.0939,0.6143
145,0.7335,61.52,8.5,0.2265,0.6362,0.5355
78,0.8519,5.23,35.85,0.3544,0.5111,0.7332
127,0.6015,12.84,21.13,0.4912,0.9895,0.6204
15,0.4943,18.89,32.26,0.1562,0.4549,0.5033
122,0.5,2.46,18.28,0.2376,0.1805,0.556
163,0.9555,58.54,22.14,0.288,0.932,0.7533
122,0.5467,4.39,59.61,0.3795,0.0201,0.5633
74,0.6968,12.74,22.33,0.4927,0.6222,0.5369
178,0.5546,3.11,49.88,0.3414,0.7807,0.6662
64,0.7324,70.49,3.94,0.5867,0.4153,0.5906
166,0.939,43.91,11.34,0.3471,0.7831,0.7907
175,0.3705,5.56,50.45,0.2132,0.8396,0.5202
169,0.4689,7.05,39.36,0.123,0.4482,0.5245
111,0.5042,56.41,29.51,0.2255,0.9665,0.4058
32,0.4276,63.91,5.48,0.7733,0.8639,0.4521
52,0.4442,44.38,6.59,0.0483,0.5269,0.4393
105,0.4154,79.39,26.63,0.0358,0.7017,0.3502
159,0.4432,38.29,7.07,0.2615,0.3961,0.4425
194,0.6178,21.82,7.54,0.3197,0.7978,0.4632
83,1.0,26.35,19.07,0.2741,0.5396,0.6193
66,0.7844,5.15,19.4,0.0637,0.6091,0.6144
58,0.3695,51.27,2.93,0.3527,0.4138,0.3904
186,1.0,6.46,25.12,0.4676,0.7255,0.756
107,0.2879,23.29,11.94,0.0947,0.275,0.4281
14,0.4152,2.72,32.8,0.0675,0.8532,0.5156
4,0.5173,4.96,15.97,0.1447,0.4866,0.4437
120,0.9056,20.38,25.22,0.2616,0.3772,0.7086
177,0.7287,89.36,14.66,0.3059,0.3886,0.5335
78,0.4127,55.51,41.0,0.1114,0.9026,0.514
187,0.7229,7.99,6.94,0.1955,0.4699,0.5794
144,0.7355,2.19,51.1,0.1792,0.3197,0.6347
89,0.4592,22.03,11.91,0.2136,0.2835,0.4229
1,0.8065,80.1,24.76,0.1984,0.6979,0.6184
167,0.6587,36.94,40.47,0.1175,0.1654,0.5732
181,0.8704,29.72,9.81,0.434,0.3018,0.6842
86,0.6274,22.24,19.47,0.4036,0.4955,0.6032
54,0.7602,0.7,53.63,0.6732,0.1568,0.7167
199,0.6375,12.14,57.64,0.4545,0.7015,0.7101
133,0.7186,21.1,20.67,0.1212,0.7061,0.682
118,0.5272,10.31,51.21,0.2391,0.6414,0.5402
63,0.4212,40.62,26.51,0.0931,0.7916,0.3998
15,0.7872,23.01,26.66,0.1776,0.6084,0.5434
145,0.8795,11.71,26.96,0.5707,0.2655,0.7002
138,0.7696,19.4,33.56,0.5694,0.8053,0.7077
29,0.329,59.43,36.97,0.1111,0.5992,0.4684
193,0.3357,3.55,25.23,0.4551,0.5014,0.5048
43,0.7371,20.39,11.51,0.4278,0.1891,0.5398
127,0.6434,24.31,9.9,0.3728,0.8606,0.567
106,0.9028,38.15,25.41,0.1328,0.1545,0.6703
68,0.9091,23.61,44.99,0.3637,0.6024,0.7205
96,0.3236,31.83,9.75,0.0797,0.7052,0.3835
137,0.3176,71.12,1.91,0.1296,0.4189,0.3507
182,0.7975,1.64,15.1,0.0856,0.5948,0.666
76,0.2722,47.97,31.78,0.2889,0.0526,0.2949
110,0.5728,35.3,49.42,0.6265,0.5044,0.6047
52,0.5202,58.28,11.57,0.0471,0.3714,0.4491
78,0.8716,10.3,8.7,0.2433,0.4325,0.6168
162,0.7543,54.07,48.46,0.1642,0.7145,0.625
96,0.739,44.21,21.29,0.3496,0.6506,0.5866
101,1.0,25.26,26.09,0.1662,0.5131,0.7587
20,0.6497,13.24,22.53,0.2135,0.624,0.6232
4,0.362,13.75,42.91,0.2747,0.7849,0.4427
60,0.6259,0.47,10.76,0.5045,0.269,0.6009
71,0.6587,2.56,36.27,0.3416,0.4649,0.5729
15,0.5867,73.99,40.87,0.4037,0.107,0.6229
58,0.6266,53.86,16.63,0.5003,0.6376,0.6207
61,0.4559,18.74,21.47,0.4312,0.9291,0.5693
157,0.3746,24.32,13.59,0.1855,0.3218,0.4134
136,0.5399,12.53,11.71,0.3562,0.5353,0.5494
198,0.699,45.88,2.92,0.0908,0.0367,0.4722
182,1.0,68.0,16.35,0.0249,0.3309,0.6419
37,0.6373,27.59,21.17,0.4532,0.436,0.5389
155,0.6215,20.11,25.2,0.3089,0.3592,0.5287
7,0.4712,18.71,16.68,0.3023,0.5135,0.4924
128,0.975,12.71,9.53,0.4017,0.7541,0.689
6,0.9661,47.23,38.22,0.2061,0.2223,0.6649
72,0.5873,5.2,9.8,0.382,0.3922,0.5399
25,0.7002,0.39,5.52,0.3891,0.6042,0.5865
75,0.3727,28.72,10.55,0.3685,0.3884,0.5066
175,0.7032,15.84,11.25,0.4633,0.1059,0.607
100,0.515,17.41,38.55,0.1885,0.582,0.5222
172,0.9773,24.34,23.47,0.1844,0.2683,0.6463
142,0.661,36.38,63.97,0.3996,0.1741,0.7134
80,0.9647,20.61,20.22,0.4407,0.7667,0.7317
188,0.4519,12.93,18.35,0.105,0.3173,0.4155
190,0.914,24.23,7.07,0.2956,0.5861,0.718
33,0.4087,4.08,30.36,0.0562,0.7544,0.4754
12,1.0,34.39,7.08,0.0885,0.4018,0.6558
51,0.9276,10.09,18.64,0.175,0.4378,0.6401
110,0.5414,12.93,25.06,0.3791,0.2637,0.5855
75,0.6472,27.63,1.91,0.3723,0.2845,0.4988
140,0.6136,1.61,5.08,0.4629,0.5876,0.6113
161,0.7684,5.31,19.7,0.1968,0.4411,0.6376
189,0.4347,14.56,38.83,0.1034,0.0675,0.4336
188,0.9965,0.35,14.99,0.5117,0.2535,0.7949
144,0.7958,25.09,20.74,0.6067,0.7598,0.7121
24,0.7382,30.71,26.87,0.1365,0.2644,0.5549
168,0.9664,9.63,21.96,0.1575,0.2898,0.6938
93,0.4759,50.88,6.52,0.5089,0.226,0.4777
123,1.0,31.18,34.14,0.4754,0.491,0.8673
121,0.4146,19.19,20.41,0.3871,0.854,0.5067
17,0.5111,87.67,20.11,0.3034,0.5809,0.4335
50,0.3896,25.34,30.97,0.1848,0.4313,0.447
183,0.8626,49.63,25.03,0.2038,0.4054,0.6459
87,0.7854,10.99,21.23,0.2984,0.7955,0.5878
116,0.6429,1.45,9.74,0.5452,0.4623,0.5365
120,0.8501,32.78,3.47,0.2969,0.1102,0.6155
61,0.9891,26.78,6.24,0.2575,0.4062,0.7239
2,0.591,5.09,19.63,0.2589,0.5454,0.5444
136,0.7935,49.34,21.82,0.3745,0.4164,0.6199
86,1.0,35.08,43.53,0.2863,0.7154,0.8132
3,0.7522,36.37,27.46,0.2857,0.2124,0.6239
84,0.7411,2.02,46.6,0.0548,0.3168,0.5958
129,0.701,16.46,18.45,0.146,0.2605,0.5347
21,0.4791,11.58,19.14,0.1628,0.4507,0.3991
73,0.4575,5.46,28.58,0.1381,0.1781,0.4691
138,1.0,26.21,7.87,0.1431,0.4465,0.6333
40,0.8961,182.2,12.51,0.1375,0.1863,0.4602
23,0.6614,16.08,40.26,0.5794,0.75,0.6415
154,0.9922,24.72,19.37,0.153,0.1203,0.6619
53,0.7607,15.87,15.3,0.1543,0.4381,0.5823
195,0.4646,59.22,34.42,0.4231,0.1752,0.4018
7,0.5639,12.84,52.85,0.2997,0.4549,0.67
100,0.8797,10.33,2.14,0.2206,0.6841,0.5515
82,0.3621,13.39,5.95,0.2674,0.8312,0.4919
2,0.6469,53.2,38.86,0.3243,0.324,0.6076
67,0.8007,49.03,7.63,0.5076,0.2674,0.6167
11,1.0,51.56,23.27,0.1721,0.0086,0.6307
28,0.956,83.36,9.9,0.3204,0.3719,0.6256
1,0.7125,45.04,12.31,0.2409,0.384,0.503
79,0.8162,13.34,28.09,0.0379,0.3987,0.63
100,0.4895,14.83,21.33,0.1897,0.4774,0.5827
10,0.4589,9.92,27.06,0.5574,0.2952,0.5111
102,0.5223,83.17,18.04,0.0799,0.9001,0.4993
46,0.4976,4.85,14.87,0.4277,0.8581,0.5384
27,0.6174,92.67,7.65,0.2822,0.4697,0.4288
151,0.7746,6.56,8.96,0.0574,0.55,0.6206
129,0.8031,30.49,24.76,0.4766,0.6711,0.6474
16,0.7083,3.35,14.89,0.3832,0.5446,0.618
163,0.7309,11.75,27.45,0.1912,0.3017,0.489
198,0.5447,57.32,28.19,0.3662,0.1039,0.4669
83,0.7072,5.28,18.11,0.3064,0.5842,0.6703
41,0.762,15.33,14.01,0.3391,0.4914,0.6526
155,0.4784,2.47,20.95,0.1879,0.5436,0.5121
37,0.5474,19.85,5.63,0.1175,0.5522,0.43
185,0.943,8.67,18.58,0.1077,0.8942,0.6451
161,0.5454,44.42,44.39,0.1884,0.496,0.5444
123,0.4434,75.34,48.17,0.413,0.6435,0.4844
2,0.8806,67.3,60.53,0.1412,0.2484,0.6204
199,0.7571,6.45,33.2,0.6007,0.1129,0.6839
77,0.4793,28.54,3.86,0.3158,0.5408,0.4683
25,0.896,32.21,5.06,0.2919,0.2523,0.716
119,0.4922,42.54,15.77,0.1848,0.6241,0.4209
48,0.37,70.17,22.08,0.4083,0.5332,0.3932
126,0.8561,65.57,62.76,0.1385,0.7847,0.6402
59,0.6117,55.47,52.94,0.2834,0.2571,0.5751
40,0.6751,36.06,5.71,0.5794,0.1916,0.5122
49,0.4217,25.0,53.18,0.2835,0.2407,0.5374
28,0.8875,108.24,14.27,0.5454,0.4895,0.6087
139,0.6198,5.0,23.31,0.4016,0.3095,0.5699
190,0.7466,53.33,23.72,0.4563,0.4551,0.6294
101,0.6376,71.13,34.03,0.1483,0.3566,0.4967
18,0.6016,87.02,52.67,0.0715,0.1179,0.4704
22,0.4422,26.4,21.33,0.2362,0.2317,0.4557
12,0.4064,16.13,22.42,0.0255,0.8237,0.3849
109,0.8282,3.3,22.95,0.5536,0.7969,0.6273
113,0.6667,4.45,45.31,0.5447,0.5473,0.5914
73,0.5185,23.06,5.78,0.7219,0.6709,0.5024
28,0.389,1.02,10.51,0.2224,0.373,0.3917
116,0.3051,14.58,12.88,0.198,0.4238,0.3747
107,1.0,15.8,11.12,0.1131,0.0892,0.6532
114,0.8521,91.92,18.9,0.2592,0.5676,0.6004
186,0.3903,51.32,5.23,0.4306,0.6424,0.3489
88,0.8929,14.99,3.49,0.1417,0.5908,0.6404
115,0.7646,105.13,15.03,0.05,0.7328,0.5505
144,0.6731,1.16,26.72,0.2965,0.4796,0.5037
14,0.6555,12.79,14.94,0.3125,0.5596,0.6976
36,0.6067,41.32,6.15,0.099,0.6393,0.5214
80,0.5702,12.56,22.16,0.0693,0.5661,0.4939
6,0.4914,8.94,12.79,0.6912,0.3745,0.5566
75,0.7293,34.33,16.17,0.3633,0.4607,0.5522
161,0.9189,27.43,27.17,0.5907,0.5973,0.8364
34,0.9175,8.25,54.36,0.3648,0.5086,0.7625
173,0.6248,34.11,26.87,0.3542,0.3,0.5444
13,0.9048,10.85,17.51,0.3825,0.3247,0.6219
121,0.7698,54.82,51.8,0.3373,0.4713,0.6691
167,0.4756,43.4,2.97,0.3165,0.5726,0.5228
112,1.0,3.87,1.91,0.0702,0.2919,0.7335
38,0.8829,78.63,1.51,0.1265,0.6756,0.6064
2,0.3919,25.07,31.83,0.3519,0.3348,0.4306
139,0.8753,29.82,13.7,0.4997,0.1281,0.6409
34,0.8635,63.8,15.52,0.5115,0.5423,0.5622
64,0.6069,0.62,51.4,0.0216,0.6328,0.5435
109,0.8534,39.52,20.64,0.029,0.676,0.6406
65,0.7557,51.29,12.71,0.7414,0.889,0.5969
170,0.9186,41.53,15.7,0.0706,0.6882,0.6587
27,0.8327,23.89,35.83,0.2297,0.7862,0.6232
93,1.0,27.28,15.1,0.0699,0.1763,0.6378
135,0.6147,5.91,21.62,0.1234,0.7048,0.4869
196,0.5098,4.56,20.77,0.1182,0.2291,0.4783
86,0.7812,33.02,19.16,0.1126,0.24,0.5441
117,0.8238,15.93,55.97,0.3915,0.331,0.6909
41,0.4822,57.5,9.03,0.5389,0.7092,0.5078
8,0.7171,6.52,9.82,0.3829,0.4956,0.6549
101,0.8476,30.4,32.53,0.5145,0.6401,0.6407
192,0.7133,21.72,53.5,0.3767,0.0518,0.6946
179,0.9896,69.34,14.52,0.3781,0.8082,0.6744
77,0.5723,11.06,22.97,0.3127,0.5014,0.5674
79,0.8544,6.21,14.74,0.1122,0.726,0.6972
138,0.7623,5.32,18.03,0.472,0.2739,0.6963
9,0.6488,24.68,33.25,0.1765,0.2963,0.4897
0,0.6134,0.15,5.25,0.4516,0.4722,0.5957
191,0.4483,2.24,20.83,0.1634,0.4353,0.4573
16,0.8982,61.14,28.78,0.0344,0.6839,0.6438
49,0.6611,7.5,21.57,0.2255,0.4635,0.6138
181,0.6737,43.32,18.99,0.1265,0.1621,0.3892
21,0.6902,4.01,17.88,0.2205,0.338,0.6031
54,0.5493,14.81,17.34,0.4985,0.6093,0.5377
144,0.6377,20.89,12.31,0.1696,0.5251,0.5471
141,0.3345,0.48,59.57,0.3321,0.8035,0.553
144,0.5656,49.22,10.29,0.2971,0.3844,0.4195
111,0.2883,39.75,10.01,0.0896,0.588,0.3752
156,0.8414,93.57,1.54,0.2221,0.9142,0.6197
184,0.7982,82.09,15.73,0.4525,0.1665,0.6168
90,0.8213,62.63,43.59,0.2336,0.3951,0.5927
65,0.558,30.43,39.23,0.4564,0.1077,0.5151
147,0.4601,59.26,29.48,0.6065,0.3246,0.4793
54,0.5136,3.42,22.55,0.5418,0.6279,0.5898
97,0.8928,3.47,40.96,0.2539,0.7344,0.7423
51,0.6063,55.11,20.66,0.2388,0.0519,0.3934
50,0.4462,44.62,27.54,0.318,0.4933,0.4844
11,0.4805,3.77,41.92,0.3481,0.7021,0.5637
8,0.5428,33.39,31.37,0.1414,0.2938,0.4522
112,1.0,47.73,5.21,0.3734,0.1698,0.677
128,0.7643,14.44,31.48,0.1161,0.3802,0.6381
40,0.5327,3.08,17.37,0.5003,0.7277,0.5989
49,0.6029,14.41,29.03,0.6033,0.577,0.5929
95,0.4347,11.26,2.95,0.5404,0.2081,0.5683
55,0.574,4.06,18.72,0.3727,0.8541,0.6248
68,0.3031,6.53,13.22,0.3687,0.912,0.4457
71,0.8154,23.48,17.58,0.0335,0.3755,0.5036
20,0.6812,9.97,25.69,0.3038,0.7852,0.6621
56,0.4679,18.9,4.25,0.354,0.767,0.5606
40,0.6572,21.88,40.59,0.1853,0.5033,0.5917
148,0.8413,24.79,28.57,0.2306,0.6667,0.6102
86,0.5934,5.04,27.21,0.1314,0.0754,0.552
117,0.66,51.89,11.29,0.1912,0.427,0.5434
72,0.7013,20.84,26.7,0.4084,0.7979,0.6452
11,0.7601,2.64,10.15,0.0977,0.5292,0.5658
135,0.8798,21.7,48.9,0.4934,0.513,0.7286
79,0.9022,1.11,44.26,0.4957,0.3375,0.8543
58,0.9408,40.19,16.81,0.4174,0.8756,0.7394
17,0.5916,62.24,36.47,0.4423,0.1486,0.5156
69,0.6688,25.89,6.29,0.2893,0.8991,0.6051
63,0.9285,127.64,19.93,0.6958,0.174,0.6036
61,0.5298,5.74,22.43,0.6392,0.2479,0.6058
60,0.8606,76.5,11.89,0.5766,0.6128,0.6928
108,0.2779,45.07,40.91,0.2052,0.3235,0.2809
123,0.8494,2.63,11.73,0.1382,0.2375,0.6312
100,0.7233,10.71,50.68,0.2553,0.6852,0.6495
68,0.5142,133.31,34.0,0.272,0.8699,0.3978
3,0.5439,175.55,23.92,0.1612,0.7411,0.2895
179,0.4314,9.2,50.06,0.2277,0.5399,0.5468
2,0.903,4.87,9.58,0.6256,0.5202,0.7769
53,0.6216,11.34,23.51,0.2617,0.4005,0.5429
174,0.6726,75.81,11.94,0.4069,0.3388,0.4763
9,0.8045,10.24,24.21,0.0408,0.6608,0.5579
112,0.7671,5.48,33.41,0.2502,0.5151,0.5961
70,0.6997,69.08,3.65,0.234,0.3247,0.4974
79,0.7226,34.44,21.79,0.0919,0.7552,0.5212
63,0.822,37.82,5.8,0.2242,0.9178,0.6213
70,0.3719,21.72,1.08,0.2108,0.7195,0.4019
6,0.2497,7.37,55.35,0.3107,0.3305,0.3601
167,0.5049,34.36,28.78,0.207,0.8687,0.5068
160,0.5731,2.86,17.51,0.2399,0.5167,0.4317
15,0.7659,8.17,26.55,0.2198,0.6396,0.6025
13,0.7819,12.09,24.23,0.5394,0.3606,0.6108
157,0.7283,2.57,36.66,0.4785,0.4887,0.7207
108,0.8577,86.23,20.16,0.7241,0.5013,0.6261
160,0.8336,25.43,22.9,0.3983,0.298,0.631
3,0.8301,42.59,5.26,0.0939,0.7202,0.6134
128,0.5783,24.4,37.76,0.3224,0.353,0.5638
99,0.5646,17.0,16.16,0.1885,0.0327,0.5013
78,0.5122,17.06,8.46,0.4282,0.5887,0.5095
134,0.8829,122.06,34.86,0.3881,0.1067,0.6347
7,0.772,14.66,0.3,0.2312,0.5826,0.5856
172,0.4373,20.83,22.32,0.5048,0.0792,0.4788
170,0.8683,19.89,24.65,0.1572,0.7024,0.6801
199,0.4892,10.24,5.51,0.2448,0.592,0.4768
70,0.7089,3.17,21.21,0.4982,0.3625,0.7117
183,0.8143,34.52,34.83,0.264,0.4592,0.6726
128,0.3726,3.3,22.92,0.3722,0.1504,0.4447
38,0.4694,41.3,64.23,0.0647,0.6175,0.4145
108,0.5763,10.63,19.68,0.0897,0.2539,0.4992
151,0.8496,37.79,42.04,0.2918,0.6683,0.7018
